"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,License Number,Location,NRC Region,Licensee,Parent Company Utility Name,Parent Company Website,Parent Company Notes,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,"2018 Capacity Factor(Percent)","2017 Capacity Factor(Percent)","2016 Capacity Factor(Percent)",2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent),,Years of Operation through 12/31/2019,
"Grand Gulf Nuclear Station, Unit 1",Grand Gulf 1,05000416,NPF-29,"Port Gibson, MS (20 MI S of Vicksburg,  MS)",4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,BWR-MARK 3,GE 6,BECH,BECH,04/09/1974,01/11/1984,01/07/1985,01/12/2016,01/11/2044,4408,,57%,58%,47%,93%,82%,86%,70%,94%,88%,100%,86%,,91%,92%,99%,,35,
"H. B. Robinson Steam Electric Plant, Unit 2",Robinson 2,05000261,DPR-23,"Hartsville, SC (26 MI NW of Florence,  SC)",2,"Duke Energy Progress, LLC",Duke Energy,www.duke-energy.com,,PWR-DRYAMB,WEST 3LP,EBSO,EBSO,13/04/1967,31/07/1970,07/03/1971,19/04/2004,31/07/2030,2339,,79%,88%,95%,85%,86%,85%,85%,100%,57%,104%,87%,,93%,92%,104%,,49,
"Hope Creek Generating Station, Unit 1",Hope Creek 1,05000354,NPF-57,"Hancocks Bridge, NJ (18 MI SE of Wilmington,  DE)",1,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",www.pseg.com,,BWR-MARK 1,GE 4,BECH,BECH,04/11/1974,25/07/1986,20/12/1986,20/07/2011,11/04/2046,3902,,90%,94%,85%,83%,102%,80%,93%,103%,93%,95%,108%,,83%,65%,79%,,33,
"Indian Point Nuclear Generating, Unit 2",Indian Point 2,05000247,DPR-26,"Buchanan, NY (24 MI N of New York,  NY)",1,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,WEST 4LP,UE&C,WDCO,14/10/1966,28/09/1973,01/08/1974,17/09/2018,30/04/2024,3216,,90%,73%,53%,77%,93%,77%,90%,98%,82%,98%,91%,,99%,88%,99%,,46,
"Indian Point Nuclear Generating, Unit 3",Indian Point 3,05000286,DPR-64,"Buchanan, NY (24 MI N of New York,  NY)",1,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,WEST 4LP,UE&C,WDCO,13/08/1969,12/12/1975,30/08/1976,17/09/2018,30/04/2025,3216,,92%,78%,102%,86%,98%,94%,100%,90%,99%,85%,107%,,90%,101%,88%,,44,
James A. FitzPatrick Nuclear Power Plant,FitzPatrick,05000333,DPR-59,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 1,GE 4,S&W,S&W,20/05/1970,17/10/1974,28/07/1975,08/09/2008,17/10/2034,2536,,89%,80%,76%,96%,79%,89%,84%,97%,85%,99%,89%,,95%,87%,96%,,45,
"Joseph M. Farley Nuclear Plant, Unit 1",Farley 1,05000348,NPF-2,"Columbia, AL (18 MI E of Dothan,  AL)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 3LP,SSI,DANI,16/08/1972,25/06/1977,01/12/1977,12/05/2005,25/06/2037,2775,,84%,100%,86%,86%,102%,90%,91%,101%,88%,90%,97%,,99%,86%,91%,,42,
"Joseph M. Farley Nuclear Plant, Unit 2",Farley 2,05000364,NPF-8,"Columbia, AL (18 MI E of Dothan,  AL)",2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,www.southerncompany.com,,PWR-DRYAMB,WEST 3LP,SSI,BECH,16/08/1972,31/03/1981,30/07/1981,12/05/2005,31/03/2041,2775,,99%,91%,90%,98%,89%,91%,104%,89%,88%,96%,90%,,84%,89%,100%,,38,
"LaSalle County Station, Unit  1",La Salle 1,05000373,NPF-11,"Marseilles, IL (11 MI SE of Ottawa,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 5,S&L,CWE,10/09/1973,17/04/1982,01/01/1984,19/10/2016,17/04/2042,3546,,92%,96%,89%,99%,93%,95%,97%,101%,94%,99%,100%,,100%,92%,92%,,37,
"LaSalle County Station, Unit  2",La Salle 2,05000374,NPF-18,"Marseilles, IL (11 MI SE of Ottawa,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,BWR-MARK 2,GE 5,S&L,CWE,10/09/1973,16/12/1983,19/10/1984,19/10/2016,16/12/2043,3546,,98%,88%,95%,83%,95%,88%,103%,96%,101%,93%,94%,,91%,101%,91%,,36,
